Date,NIFTY_Return_1D,NIFTY_Return_5D,NIFTY_Return_20D,NIFTY_SMA50,NIFTY_RSI
2015-05-28,-0.00187166871908917,-0.012112575703598139,0.00961801025516551,8439.51103515625,47.45582077239564
2015-05-29,0.013781751487558669,-0.00299089178956502,0.030819579615596115,8435.22904296875,54.064208285474365
2015-06-01,-2.964315431874809e-05,0.007544624189838922,0.012176044375490358,8431.23404296875,54.0482457584562
2015-06-02,-0.023353592405198742,-0.012339021492374092,-0.010612820902341946,8421.49705078125,43.2216039682486
2015-06-03,-0.012305070176218624,-0.02393630421002435,0.004705458522446637,8410.481044921875,38.90296135155103
2015-06-04,-0.0005470363313393456,-0.02264095415990508,0.009103558193723549,8400.40103515625,38.720015949959254
2015-06-05,-0.001961676769116849,-0.03781875943862345,-0.00937554839620336,8391.27703125,38.029743478624454
2015-06-08,-0.008694134258897646,-0.04615581737515517,-0.03376476353938318,8381.142021484375,35.05300250904955
2015-06-09,-0.0027038282806817193,-0.02598817304699652,-0.012864640542408323,8370.731015625,34.165139484337075
2015-06-10,0.012720668903445809,-0.0013091298467019508,-0.013478315983645905,8362.6040234375,41.635006428249504
2015-06-11,-0.019582875620068996,-0.020330454105501494,-0.031474197065847864,8355.068017578125,34.97266934934959
2015-06-12,0.0022032684655837187,-0.016242164195404918,-0.03382206275974675,8347.8980078125,36.18570198875598
2015-06-15,0.003883300602441242,-0.0037604968041664577,-0.04296220543002616,8338.330009765625,38.3725803812152
2015-06-16,0.004167746384501569,0.0031037971987004642,-0.0380544932040503,8329.456005859374,40.729336341165094
2015-06-17,0.005498738840850059,-0.0040495528723878405,-0.039379122703528946,8319.562001953125,43.79596297165473
2015-06-18,0.010263830165222254,0.026270031754356937,-0.029260171279390845,8309.85599609375,49.117112226757875
2015-06-19,0.006159334653041526,0.030321098338923713,-0.027663007181395916,8301.14900390625,52.079250729413495
2015-06-22,0.015580570218593381,0.042326421737816755,-0.002048969938173939,8293.92298828125,58.67347207034628
2015-06-23,0.003405944696333929,0.0415356713571553,0.005060370087501598,8285.98798828125,59.98979958191059
2015-06-24,-0.002469733616678238,0.03328160997433294,0.003149521420377832,8277.59798828125,58.52903484678098
2015-06-25,0.00444337505883885,0.027328542029573022,0.00949633369395353,8268.87798828125,60.393043651165556
2015-06-26,-0.0020124304149797823,0.01898484615159024,-0.006231083672666449,8262.3659765625,59.09182798616541
2015-06-29,-0.00748102536329065,-0.004154053030931859,-0.013636255208259729,8256.613984375,54.40825559109567
2015-06-30,0.006022745602803914,-0.001556967982246138,0.01603236850295664,8255.0219921875,57.319233543578264
2015-07-01,0.01010334046573469,0.011027610783611808,0.03908368713531285,8256.52798828125,61.75702902023641
2015-07-02,-0.0009640797405430224,0.005584709529054432,0.03865010694786686,8256.8319921875,61.09761558111554
2015-07-03,0.004736586359787687,0.012385102920610791,0.045620933170931854,8258.56400390625,63.17597632318545
2015-07-06,0.004390151714822377,0.024493891906144594,0.05942212590319573,8262.90201171875,65.04863988169906
2015-07-07,-0.0013318922357890006,0.017004218759335554,0.060879525863708706,8268.84201171875,63.98092397394848
2015-07-08,-0.01736029555278973,-0.010647044803887451,0.029368093057258626,8270.391015625,52.012899932085716
2015-07-09,-0.004125289314989233,-0.013777614957621642,0.045597456807092485,8272.16701171875,49.67623260396649
2015-07-10,0.0038422055160178825,-0.014655515116582363,0.047307357847850895,8275.7480078125,51.83750907190585
2015-07-13,0.011853357524637564,-0.007333829741933973,0.05562216819689558,8278.30201171875,57.8717363722418
2015-07-14,-0.0006561478304294432,-0.006662146521325907,0.05055109347989517,8280.8880078125,57.43765415655678
